gageid,agency,domain
06430770,USGS,CONUS
06430850,USGS,CONUS
06431500,USGS,CONUS
06437020,USGS,CONUS
06440200,USGS,CONUS
06441500,USGS,CONUS
06446500,USGS,CONUS
06447230,USGS,CONUS
06447500,USGS,CONUS
06453600,USGS,CONUS
06464500,USGS,CONUS
06466500,USGS,CONUS
06468170,USGS,CONUS
06469400,USGS,CONUS
06470800,USGS,CONUS
06471200,USGS,CONUS
06477500,USGS,CONUS
06478690,USGS,CONUS
06479215,USGS,CONUS
06479438,USGS,CONUS
06482610,USGS,CONUS
06601000,USGS,CONUS
06605850,USGS,CONUS
06607200,USGS,CONUS
06608500,USGS,CONUS
06609500,USGS,CONUS
06620000,USGS,CONUS
06622700,USGS,CONUS
06623800,USGS,CONUS
06625000,USGS,CONUS
06632400,USGS,CONUS
06708800,USGS,CONUS
06709000,USGS,CONUS
06710150,USGS,CONUS
06710385,USGS,CONUS
06775500,USGS,CONUS
06784000,USGS,CONUS
06795500,USGS,CONUS
06799100,USGS,CONUS
06800000,USGS,CONUS
06803000,USGS,CONUS
06803510,USGS,CONUS
06803530,USGS,CONUS
06806500,USGS,CONUS
06807410,USGS,CONUS
06809210,USGS,CONUS
06811500,USGS,CONUS
06813000,USGS,CONUS
06814000,USGS,CONUS
06815000,USGS,CONUS
06817000,USGS,CONUS
06819185,USGS,CONUS
06821080,USGS,CONUS
06821500,USGS,CONUS
06823500,USGS,CONUS
06846500,USGS,CONUS
06847900,USGS,CONUS
06853800,USGS,CONUS
06863420,USGS,CONUS
06866900,USGS,CONUS
06868850,USGS,CONUS
06869950,USGS,CONUS
06876700,USGS,CONUS
06878000,USGS,CONUS
06883000,USGS,CONUS
06884200,USGS,CONUS
06885500,USGS,CONUS
06886500,USGS,CONUS
06888000,USGS,CONUS
06888500,USGS,CONUS
06889200,USGS,CONUS
06890100,USGS,CONUS
06893500,USGS,CONUS
06895000,USGS,CONUS
06898000,USGS,CONUS
06899700,USGS,CONUS
